a5,b1,b11,b12,c1,c15,c28,c33,c35,c5,centre,christian,conserv,d4,d6,d9,e4,e5,e7,f1,f2,f27,f3,f30,f32,f5,green,happy,leftparty,liberal,socialdemocrats
"0,5 hour to 1 hour",Very interested,Yes,CONSERVATIVE,6,Good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,3.000000,Agree,Neither agree nor disagr,Neither agree nor disagr,1.000000,Female,No,1929.000,"Yes, previously",Refusal,Town or small city,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,CONSERVATIVE,9,Very good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,2.000000,Agree,Agree strongly,Agree strongly,3.000000,Female,Yes,1947.000,"Yes, currently",H,Suburbs or outskirts of ,0,1,0,0,0
"0,5 hour to 1 hour",Not at all interested,No,NOT APPLICABLE,Extremely happy,Good,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,1.000000,Neither agree nor disagr,Neither agree nor disagr,Agree strongly,4.000000,Female,Yes,1984.000,"Yes, currently",S,Country village,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CENTRE PARTY,8,Very good,Yes,Yes,Yes,No,1,0,0,Yes,Yes,1.000000,Neither agree nor disagr,Agree,Agree,1.000000,Female,No,1953.000,"Yes, currently",D,Country village,0,1,0,0,0
"0,5 hour to 1 hour",Very interested,Not eligible to vote,NOT APPLICABLE,4,Good,No,No,No,Yes,0,0,0,Yes,No,4.000000,Disagree,Agree,Agree,3.000000,Female,No,1954.000,"Yes, currently",D,A big city,0,0,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,9,Good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,3.000000,Agree,Agree,Agree,2.000000,Male,No,1934.000,"Yes, previously",D,Suburbs or outskirts of ,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,CONSERVATIVE,7,Very good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,2.000000,Agree strongly,Agree,Agree,1.000000,Male,No,1931.000,"Yes, previously",D,Suburbs or outskirts of ,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,CONSERVATIVE,8,Good,Yes,Yes,Yes,Yes,0,0,1,Yes,Yes,6.000000,Agree,Agree,Agree,2.000000,Male,No,1952.000,"Yes, currently",P,Farm or home in countrys,0,1,0,0,0
"More than 1 hour, up to ",Quite interested,Yes,CONSERVATIVE,8,Good,Yes,Yes,Yes,Yes,0,0,1,Yes,Yes,2.000000,Agree strongly,Agree,Agree,2.000000,Male,No,1933.000,No,S,Suburbs or outskirts of ,0,1,0,0,0
"0,5 hour to 1 hour",Very interested,Yes,CENTRE PARTY,8,Fair,Yes,No,Yes,No,1,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,2.000000,Male,No,1931.000,"Yes, previously",S,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,SOCIAL DEMOCRATS,7,Very good,No,No,No,No,0,0,0,Yes,Yes,3.000000,Agree,Agree,Agree,4.000000,Female,Yes,1956.000,"Yes, currently",P,A big city,0,1,0,0,1
"0,5 hour to 1 hour",Very interested,No,NOT APPLICABLE,7,Good,Yes,No,No,No,0,0,0,Yes,No,1.000000,Agree,Agree,Neither agree nor disagr,2.000000,Female,Yes,1964.000,"Yes, currently",M,Suburbs or outskirts of ,0,1,0,0,0
"More than 1 hour, up to ",Hardly interested,Yes,CONSERVATIVE,7,Bad,Yes,Yes,Yes,No,0,0,1,Yes,Yes,2.000000,Agree,Agree,Agree,2.000000,Male,No,1931.000,"Yes, currently",S,Country village,0,1,0,0,0
"0,5 hour to 1 hour",Not at all interested,Yes,SOCIAL DEMOCRATS,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Neither agree nor disagr,Neither agree nor disagr,Neither agree nor disagr,1.000000,Male,No,1944.000,"Yes, currently",M,Country village,0,1,0,0,1
"Less than 0,5 hour",Hardly interested,Yes,CONSERVATIVE,9,Very good,Yes,Yes,Yes,No,0,0,1,Yes,No,Not applicable,Neither agree nor disagr,Agree,Agree,2.000000,Male,No,1979.000,"Yes, currently",P,Town or small city,0,1,0,0,0
"More than 1 hour, up to ",Hardly interested,Yes,CENTRE PARTY,8,Fair,Yes,Yes,Yes,No,1,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,2.000000,Male,No,1923.000,"Yes, previously",M,Country village,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,SOCIAL DEMOCRATS,8,Very good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,3.000000,Agree,Agree,Agree,1.000000,Female,No,1935.000,"Yes, previously",F,Country village,0,1,0,0,1
No time at all,Quite interested,Yes,SOCIAL DEMOCRATS,Extremely happy,Very good,Yes,Yes,Yes,Yes,0,0,0,Yes,No,1.000000,Agree strongly,Neither agree nor disagr,Neither agree nor disagr,2.000000,Female,Yes,1985.000,No,F,Suburbs or outskirts of ,0,1,0,0,1
No time at all,Hardly interested,Yes,CONSERVATIVE,Extremely happy,Very good,Yes,Yes,Yes,No,0,0,1,No,No,Not applicable,Agree strongly,Agree strongly,Agree strongly,3.000000,Male,No,1985.000,No,D,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,SOCIAL DEMOCRATS,Extremely happy,Very good,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,1.000000,Agree strongly,Neither agree nor disagr,Agree strongly,3.000000,Male,No,1955.000,"Yes, currently",K,Town or small city,0,1,0,0,1
"Less than 0,5 hour",Very interested,Yes,CHRISTIAN DEMOCRATS,Extremely happy,Very good,Yes,Yes,Yes,No,0,1,0,No,No,Not applicable,Agree,Agree strongly,Agree strongly,1.000000,Male,Yes,1963.000,"Yes, currently",F,Country village,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,CENTRE PARTY,7,Good,Yes,Yes,Yes,No,1,0,0,Yes,No,Not applicable,Neither agree nor disagr,Agree,Agree,1.000000,Male,Yes,1972.000,No,F,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,SOCIAL DEMOCRATS,8,Very good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,1.000000,Neither agree nor disagr,Neither agree nor disagr,Agree,2.000000,Male,No,1930.000,"Yes, previously",S,Town or small city,0,1,0,0,1
"More than 1 hour, up to ",Hardly interested,Yes,CONSERVATIVE,Extremely happy,Good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,2.000000,Agree strongly,Agree strongly,Agree,1.000000,Female,No,1924.000,No,M,Country village,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,8,Fair,Yes,Yes,Yes,No,0,0,1,Yes,Yes,2.000000,Neither agree nor disagr,Agree,Agree,2.000000,Male,No,1947.000,"Yes, previously",D,Country village,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Not eligible to vote,NOT APPLICABLE,6,Good,Yes,Yes,Yes,Yes,0,0,0,No,No,Not applicable,Agree,Agree,Neither agree nor disagr,3.000000,Female,No,1991.000,"Yes, previously",Don't know,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Very interested,Yes,CONSERVATIVE,Extremely happy,Very good,Yes,Yes,Yes,Yes,0,0,1,Yes,Yes,2.000000,Agree strongly,Agree strongly,Agree strongly,2.000000,Male,No,1946.000,"Yes, previously",U,A big city,0,1,0,0,0
No time at all,Quite interested,Not eligible to vote,NOT APPLICABLE,7,Good,No,No,No,No,0,0,0,No,No,Not applicable,Agree,Agree,Neither agree nor disagr,2.000000,Male,Yes,1987.000,No,F,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,Yes,LIBERALS,7,Bad,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,3.000000,Agree,Neither agree nor disagr,Neither agree nor disagr,1.000000,Female,No,1947.000,"Yes, previously",F,Town or small city,0,1,0,1,0
"0,5 hour to 1 hour",Quite interested,Yes,SOCIAL DEMOCRATS,8,Very good,Yes,No,Yes,No,0,0,0,Yes,Yes,2.000000,Agree,Agree,Neither agree nor disagr,3.000000,Female,No,1958.000,"Yes, currently",S,Suburbs or outskirts of ,0,1,0,0,1
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,8,Very good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,Not applicable,Agree,Agree,Agree,4.000000,Female,No,1971.000,"Yes, currently",D,A big city,0,1,0,0,0
"More than 2 hours, up to",Very interested,Yes,SOCIAL DEMOCRATS,Extremely happy,Very good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Agree,Neither agree nor disagr,Agree,2.000000,Female,Yes,1941.000,"Yes, previously",F,Town or small city,0,1,0,0,1
No time at all,Hardly interested,Yes,SOCIAL DEMOCRATS,7,Good,Yes,Don't know,No,No,0,0,0,Yes,No,2.000000,Neither agree nor disagr,Neither agree nor disagr,Neither agree nor disagr,4.000000,Female,Yes,1972.000,"Yes, currently",D,Farm or home in countrys,0,1,0,0,1
"0,5 hour to 1 hour",Very interested,Yes,SOCIAL DEMOCRATS,8,Fair,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Neither agree nor disagr,Agree,Agree,2.000000,Female,No,1939.000,"Yes, previously",H,Country village,0,1,0,0,1
No time at all,Quite interested,Yes,LIBERALS,8,Very good,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,Not applicable,Agree,Agree,Agree,2.000000,Male,Yes,1970.000,"Yes, currently",D,Country village,0,1,0,1,0
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,9,Good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,2.000000,Agree,Agree,Agree,3.000000,Male,No,1956.000,"Yes, previously",D,Suburbs or outskirts of ,0,1,0,0,0
"More than 2,5 hours, up ",Hardly interested,Yes,OTHER,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Neither agree nor disagr,Neither agree nor disagr,Agree,2.000000,Female,No,1928.000,"Yes, previously",S,Suburbs or outskirts of ,0,1,0,0,0
"More than 1 hour, up to ",Quite interested,Yes,LIBERALS,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Neither agree nor disagr,Agree,Agree,1.000000,Female,No,1947.000,"Yes, currently",S,Suburbs or outskirts of ,0,1,0,1,0
"0,5 hour to 1 hour",Hardly interested,Yes,OTHER,9,Fair,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Neither agree nor disagr,Neither agree nor disagr,Agree,1.000000,Female,No,1927.000,No,M,Town or small city,0,1,0,0,0
No time at all,Very interested,Yes,CONSERVATIVE,7,Fair,Yes,Yes,Yes,Yes,0,0,1,Yes,No,1.000000,Neither agree nor disagr,Agree,Agree,1.000000,Male,Yes,1972.000,"Yes, previously",F,Country village,0,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,Yes,LEFT,5,Bad,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Neither agree nor disagr,Agree,Neither agree nor disagr,2.000000,Male,No,1958.000,"Yes, currently",D,Town or small city,0,0,1,0,0
No time at all,Quite interested,Yes,SOCIAL DEMOCRATS,7,Bad,Yes,Yes,Yes,No,0,0,0,No,No,2.000000,Agree,Agree,Neither agree nor disagr,4.000000,Female,Yes,1973.000,"Yes, currently",F,A big city,0,1,0,0,1
"0,5 hour to 1 hour",Very interested,Not eligible to vote,NOT APPLICABLE,9,Very good,No,No,No,Yes,0,0,0,Yes,Yes,4.000000,Agree,Agree strongly,Agree,5.000000,Female,Yes,1956.000,No,H,Farm or home in countrys,0,1,0,0,0
"More than 2 hours, up to",Quite interested,Yes,SOCIAL DEMOCRATS,3,Fair,Yes,Yes,Yes,No,0,0,0,Yes,Yes,4.000000,Disagree,Neither agree nor disagr,Disagree,1.000000,Female,No,1929.000,"Yes, previously",F,Town or small city,0,0,0,0,1
"0,5 hour to 1 hour",Hardly interested,Yes,REFUSAL,7,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,1.000000,Female,No,1932.000,"Yes, previously",S,Country village,0,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,Yes,CENTRE PARTY,8,Good,Yes,Yes,Yes,No,1,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,4.000000,Male,No,1963.000,"Yes, currently",P,Country village,0,1,0,0,0
"0,5 hour to 1 hour",Very interested,Yes,CONSERVATIVE,8,Good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,2.000000,Agree,Agree,Agree,2.000000,Male,No,1951.000,"Yes, currently",U,Suburbs or outskirts of ,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,LIBERALS,8,Very good,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,4.000000,Female,Yes,1964.000,"Yes, currently",D,Country village,0,1,0,1,0
"Less than 0,5 hour",Very interested,Yes,CONSERVATIVE,9,Fair,No,No,No,No,0,0,1,Yes,Yes,2.000000,Agree,Agree,Agree,4.000000,Female,No,1969.000,"Yes, currently",H,Suburbs or outskirts of ,0,1,0,0,0
"More than 1 hour, up to ",Quite interested,Not eligible to vote,NOT APPLICABLE,Extremely happy,Good,No,No,No,Yes,0,0,0,Yes,Yes,Not applicable,Neither agree nor disagr,Agree,Agree,2.000000,Female,No,1934.000,"Yes, previously",S,Farm or home in countrys,0,1,0,0,0
"Less than 0,5 hour",Hardly interested,Yes,SOCIAL DEMOCRATS,8,Good,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,2.000000,Neither agree nor disagr,Neither agree nor disagr,Disagree,4.000000,Male,No,1971.000,No,P,Country village,0,1,0,0,1
"More than 1,5 hours, up ",Very interested,Yes,LIBERALS,7,Fair,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Disagree,Neither agree nor disagr,Agree,1.000000,Female,No,1928.000,"Yes, previously",F,Town or small city,0,1,0,1,0
"0,5 hour to 1 hour",Hardly interested,Yes,LIBERALS,Extremely happy,Very good,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Agree strongly,Agree,Agree,1.000000,Female,No,1922.000,No,Don't know,Country village,0,1,0,1,0
"More than 1,5 hours, up ",Hardly interested,No,NOT APPLICABLE,9,Good,Yes,No,Yes,No,0,0,0,Yes,No,1.000000,Agree,Agree,Agree,3.000000,Male,No,1979.000,"Yes, currently",D,Country village,0,1,0,0,0
"Less than 0,5 hour",Not at all interested,Yes,SOCIAL DEMOCRATS,9,Very good,Yes,Yes,Yes,No,0,0,0,Yes,No,Not applicable,Agree,Agree,Agree,2.000000,Male,No,1983.000,"Yes, currently",S,Town or small city,0,1,0,0,1
"Less than 0,5 hour",Hardly interested,Yes,SOCIAL DEMOCRATS,8,Bad,Yes,Yes,Yes,No,0,0,0,Yes,Yes,4.000000,Neither agree nor disagr,Agree,Agree,2.000000,Female,Yes,1939.000,"Yes, previously",K,Country village,0,1,0,0,1
"Less than 0,5 hour",Hardly interested,Yes,CONSERVATIVE,9,Good,Yes,Yes,Yes,No,0,0,1,Yes,No,Not applicable,Neither agree nor disagr,Agree,Agree,3.000000,Male,No,1982.000,No,Don't know,Farm or home in countrys,0,1,0,0,0
"More than 2,5 hours, up ",Hardly interested,Yes,CONSERVATIVE,Extremely happy,Good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,2.000000,Neither agree nor disagr,Agree,Agree,2.000000,Male,Yes,1937.000,"Yes, previously",P,Country village,0,1,0,0,0
"Less than 0,5 hour",Not at all interested,No,NOT APPLICABLE,8,Fair,Yes,Yes,Yes,No,0,0,0,Yes,Yes,3.000000,Neither agree nor disagr,Agree,Disagree,2.000000,Female,No,1936.000,"Yes, previously",S,Suburbs or outskirts of ,0,1,0,0,0
"0,5 hour to 1 hour",Very interested,Not eligible to vote,NOT APPLICABLE,7,Very good,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Disagree,Agree,Agree,4.000000,Female,No,1990.000,No,D,Suburbs or outskirts of ,0,1,0,0,0
"Less than 0,5 hour",Very interested,No,NOT APPLICABLE,8,Fair,Yes,Yes,Yes,Yes,0,0,0,Yes,No,Not applicable,Agree,Agree,Agree,2.000000,Male,No,1970.000,"Yes, currently",S,Farm or home in countrys,0,1,0,0,0
No time at all,Not at all interested,No,NOT APPLICABLE,9,Very good,No,Don't know,Don't know,Yes,0,0,0,Yes,Yes,4.000000,Agree strongly,Neither agree nor disagr,Don't know,1.000000,Female,No,1944.000,No,Don't know,Country village,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,SOCIAL DEMOCRATS,7,Very good,Yes,Yes,No,No,0,0,0,Yes,Yes,2.000000,Neither agree nor disagr,Agree,Agree,1.000000,Male,No,1950.000,"Yes, currently",K,Suburbs or outskirts of ,0,1,0,0,1
"0,5 hour to 1 hour",Quite interested,Yes,CENTRE PARTY,8,Very good,Yes,Yes,Yes,No,1,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,4.000000,Male,Yes,1959.000,No,S,Farm or home in countrys,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,8,Very good,Yes,Yes,Yes,No,0,0,1,Yes,No,1.000000,Agree,Agree,Neither agree nor disagr,3.000000,Female,Yes,1975.000,"Yes, currently",P,Suburbs or outskirts of ,0,1,0,0,0
No time at all,Quite interested,Yes,CONSERVATIVE,7,Good,Yes,Yes,No,No,0,0,1,Yes,No,1.000000,Agree,Agree,Disagree strongly,2.000000,Female,No,1957.000,"Yes, currently",S,Suburbs or outskirts of ,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,SOCIAL DEMOCRATS,7,Bad,Yes,Yes,Yes,No,0,0,0,Yes,Yes,3.000000,Disagree,Agree,Neither agree nor disagr,2.000000,Male,No,1945.000,"Yes, currently",S,Suburbs or outskirts of ,0,1,0,0,1
"Less than 0,5 hour",Very interested,Yes,LEFT,2,Bad,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Neither agree nor disagr,Disagree,Disagree,1.000000,Male,Yes,1985.000,"Yes, currently",C,Suburbs or outskirts of ,0,0,1,0,0
"More than 1 hour, up to ",Hardly interested,Yes,CONSERVATIVE,5,Good,Yes,Yes,Yes,No,0,0,1,Yes,No,Not applicable,Neither agree nor disagr,Agree,Neither agree nor disagr,1.000000,Female,No,1966.000,No,C,Town or small city,0,0,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,9,Good,Yes,Yes,No,No,0,0,1,Yes,Yes,1.000000,Agree,Agree strongly,Agree,3.000000,Male,Yes,1954.000,"Yes, currently",D,Suburbs or outskirts of ,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,CONSERVATIVE,9,Good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,1.000000,Agree,Agree,Agree,2.000000,Female,No,1953.000,"Yes, currently",D,Suburbs or outskirts of ,0,1,0,0,0
"More than 1 hour, up to ",Very interested,Yes,SOCIAL DEMOCRATS,5,Fair,No,No,No,Yes,0,0,0,Yes,No,Not applicable,Disagree,Agree,Disagree,1.000000,Female,Yes,1961.000,"Yes, currently",S,A big city,0,0,0,0,1
"Less than 0,5 hour",Quite interested,Yes,SOCIAL DEMOCRATS,9,Very good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Agree strongly,Agree strongly,Agree,4.000000,Male,No,1970.000,"Yes, currently",D,Country village,0,1,0,0,1
"More than 1 hour, up to ",Quite interested,Yes,CONSERVATIVE,8,Good,Yes,Yes,Yes,Yes,0,0,1,Yes,Yes,1.000000,Agree,Agree,Agree,2.000000,Male,No,1940.000,"Yes, previously",D,Town or small city,0,1,0,0,0
"Less than 0,5 hour",Quite interested,No,NOT APPLICABLE,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,1.000000,Female,No,1951.000,"Yes, currently",S,Suburbs or outskirts of ,0,1,0,0,0
"0,5 hour to 1 hour",Not at all interested,Yes,SOCIAL DEMOCRATS,Extremely happy,Good,Yes,Yes,Yes,No,0,0,0,Yes,No,1.000000,Agree strongly,Agree,Agree,2.000000,Female,No,1951.000,"Yes, currently",K,Suburbs or outskirts of ,0,1,0,0,1
"More than 1,5 hours, up ",Not at all interested,No,NOT APPLICABLE,5,Good,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Neither agree nor disagr,Neither agree nor disagr,Disagree,1.000000,Male,No,1984.000,"Yes, currently",Refusal,Town or small city,0,0,0,0,0
"More than 2 hours, up to",Quite interested,Yes,CHRISTIAN DEMOCRATS,9,Bad,No,No,No,No,0,1,0,Yes,Yes,4.000000,Agree,Neither agree nor disagr,Disagree,1.000000,Female,No,1923.000,No,F,Town or small city,0,1,0,0,0
No time at all,Very interested,Yes,SOCIAL DEMOCRATS,2,Bad,No,No,No,Yes,0,0,0,Yes,Yes,3.000000,Disagree,Agree strongly,Disagree strongly,4.000000,Male,No,1965.000,"Yes, currently",H,Suburbs or outskirts of ,0,0,0,0,1
"0,5 hour to 1 hour",Not at all interested,Yes,SOCIAL DEMOCRATS,9,Fair,Yes,Yes,Yes,No,0,0,0,Yes,No,2.000000,Neither agree nor disagr,Agree,Neither agree nor disagr,4.000000,Female,Yes,1969.000,"Yes, currently",K,Country village,0,1,0,0,1
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,7,Good,Yes,Yes,Yes,Yes,0,0,1,Yes,Yes,3.000000,Agree,Agree,Agree,2.000000,Male,No,1944.000,No,D,Farm or home in countrys,0,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,Yes,CONSERVATIVE,9,Good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,3.000000,Agree,Agree,Agree,2.000000,Male,No,1953.000,No,D,Town or small city,0,1,0,0,0
"Less than 0,5 hour",Very interested,Yes,LEFT,9,Good,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,Not applicable,Neither agree nor disagr,Neither agree nor disagr,Agree,2.000000,Male,No,1952.000,"Yes, currently",H,Town or small city,0,1,1,0,0
"Less than 0,5 hour",Quite interested,Yes,LIBERALS,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,1.000000,Male,No,1951.000,"Yes, currently",K,Town or small city,0,1,0,1,0
"Less than 0,5 hour",Very interested,Yes,CONSERVATIVE,Extremely happy,Very good,Yes,Yes,Yes,Yes,0,0,1,Yes,Yes,1.000000,Agree strongly,Agree strongly,Agree strongly,3.000000,Male,No,1975.000,No,D,Town or small city,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,SOCIAL DEMOCRATS,7,Good,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,1.000000,Agree,Agree,Agree,3.000000,Female,No,1969.000,"Yes, currently",D,A big city,0,1,0,0,1
"0,5 hour to 1 hour",Quite interested,Yes,LIBERALS,Extremely happy,Very good,No,Yes,No,Yes,0,0,0,No,No,Not applicable,Agree,Agree strongly,Agree,4.000000,Female,No,1988.000,No,U,Town or small city,0,1,0,1,0
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,9,Very good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,2.000000,Agree strongly,Agree,Agree strongly,1.000000,Female,No,1952.000,No,F,Town or small city,0,1,0,0,0
No time at all,Hardly interested,Yes,CONSERVATIVE,9,Very good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,Not applicable,Agree,Agree,Agree,3.000000,Female,Yes,1972.000,"Yes, currently",P,Town or small city,0,1,0,0,0
"Less than 0,5 hour",Very interested,Yes,CONSERVATIVE,7,Good,Yes,Yes,Yes,Yes,0,0,1,Yes,No,Not applicable,Agree,Agree,Agree,5.000000,Male,No,1968.000,No,D,Suburbs or outskirts of ,0,1,0,0,0
"0,5 hour to 1 hour",Very interested,Yes,SOCIAL DEMOCRATS,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,2.000000,Male,No,1948.000,"Yes, currently",D,Town or small city,0,1,0,0,1
"Less than 0,5 hour",Quite interested,Yes,SOCIAL DEMOCRATS,Extremely happy,Very good,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Agree,Agree,Disagree,5.000000,Male,No,1988.000,No,D,Country village,0,1,0,0,1
"Less than 0,5 hour",Quite interested,Yes,CENTRE PARTY,7,Good,Yes,Yes,Yes,No,1,0,0,Yes,Yes,Not applicable,Agree,Agree,Neither agree nor disagr,1.000000,Male,No,1947.000,"Yes, currently",S,Town or small city,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,CONSERVATIVE,7,Very good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,3.000000,Agree,Agree,Agree,4.000000,Male,No,1954.000,"Yes, currently",D,Country village,0,1,0,0,0
"More than 2,5 hours, up ",Very interested,Yes,CONSERVATIVE,8,Good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,1.000000,Agree,Agree strongly,Agree,1.000000,Male,No,1923.000,"Yes, previously",M,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,OTHER,8,Very good,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Neither agree nor disagr,Agree strongly,Agree,5.000000,Male,No,1986.000,"Yes, previously",Don't know,Farm or home in countrys,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Not eligible to vote,NOT APPLICABLE,9,Very good,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,4.000000,Female,No,1967.000,"Yes, currently",P,Country village,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,CENTRE PARTY,8,Very good,Yes,Yes,Yes,No,1,0,0,Yes,Yes,3.000000,Agree,Agree,Neither agree nor disagr,1.000000,Female,No,1941.000,"Yes, currently",S,Town or small city,0,1,0,0,0
"Less than 0,5 hour",Hardly interested,No,NOT APPLICABLE,7,Good,No,No,Yes,No,0,0,0,Yes,No,Not applicable,Agree,Agree,Agree,2.000000,Male,No,1973.000,"Yes, currently",D,A big city,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,GREEN PARTY,7,Good,Yes,Yes,Yes,No,0,0,0,Yes,No,Not applicable,Neither agree nor disagr,Agree,Neither agree nor disagr,2.000000,Male,Yes,1982.000,"Yes, currently",K,Town or small city,1,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,3,Fair,Yes,Yes,Yes,No,0,0,1,Yes,No,Not applicable,Neither agree nor disagr,Neither agree nor disagr,Neither agree nor disagr,2.000000,Female,Yes,1980.000,"Yes, currently",P,Country village,0,0,0,0,0
"Less than 0,5 hour",Hardly interested,Yes,LEFT,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,No,Not applicable,Neither agree nor disagr,Neither agree nor disagr,Agree,2.000000,Male,Yes,1971.000,"Yes, currently",D,Town or small city,0,1,1,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,6,Fair,Yes,Yes,Yes,Yes,0,0,1,Yes,Yes,3.000000,Disagree,Neither agree nor disagr,Disagree,4.000000,Female,No,1957.000,"Yes, currently",H,Country village,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,CHRISTIAN DEMOCRATS,8,Fair,Yes,Yes,Yes,No,0,1,0,Yes,Yes,2.000000,Agree,Agree,Agree,2.000000,Male,No,1948.000,"Yes, currently",K,Town or small city,0,1,0,0,0
No time at all,Quite interested,Yes,SOCIAL DEMOCRATS,7,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,3.000000,Agree,Agree,Agree,3.000000,Male,No,1953.000,"Yes, currently",D,Country village,0,1,0,0,1
